time,open,high,low,close,tick_volume,spread,real_volume
1744916400,3296.54,3318.76,3294.9,3316.15,12115,25,0
1744920000,3316.15,3322.57,3314.21,3318.92,9520,25,0
1744923600,3318.92,3320.83,3314.18,3316.25,5581,25,0
1744927200,3316.18,3321.92,3310.96,3320.67,4931,25,0
1744930800,3320.68,3328.81,3317.91,3327.45,2867,25,0
1745197200,3331.11,3352.73,3328.88,3345.84,7000,25,0
1745200800,3345.84,3351.8,3343.35,3348.11,5555,25,0
1745204400,3348.1,3370.71,3347.49,3368.75,10922,25,0
1745208000,3368.73,3378.56,3367.4,3377.48,13418,25,0
1745211600,3377.48,3384.98,3374.08,3384.77,9887,25,0
1745215200,3384.77,3385.26,3378.22,3382.35,7155,25,0
1745218800,3382.35,3382.37,3369.28,3376.44,6717,25,0
1745222400,3376.44,3385.89,3375.66,3385.42,7152,25,0
1745226000,3385.45,3393.33,3382.39,3392.46,11184,25,0
1745229600,3392.28,3395.98,3381.8,3384.9,11533,25,0
1745233200,3384.9,3394.14,3383.64,3392.73,8923,25,0
1745236800,3392.73,3397.05,3390.81,3394.85,8888,25,0
1745240400,3394.86,3397.73,3392.0,3394.94,8858,25,0
1745244000,3394.94,3405.88,3386.35,3404.38,12008,25,0
1745247600,3404.38,3415.72,3398.06,3414.86,14173,25,0
1745251200,3414.86,3426.7,3405.07,3420.42,20457,25,0
1745254800,3420.42,3430.26,3408.78,3416.76,16332,25,0
1745258400,3416.76,3426.06,3407.69,3422.92,13846,25,0
1745262000,3422.92,3424.01,3410.1,3414.56,10218,25,0
1745265600,3414.52,3422.81,3405.93,3422.48,12071,25,0
1745269200,3422.48,3426.63,3417.67,3426.32,10154,25,0
1745272800,3426.33,3430.49,3417.41,3423.42,8332,25,0
1745276400,3423.43,3427.1,3419.7,3424.64,3681,25,0
1745283600,3425.24,3435.96,3423.46,3431.02,5164,25,0
1745287200,3431.02,3444.51,3429.31,3434.5,7736,25,0
1745290800,3434.48,3435.34,3412.28,3425.44,12305,25,0
1745294400,3425.44,3455.0,3421.74,3453.01,15594,25,0
1745298000,3453.01,3475.93,3442.37,3473.16,13825,25,0
1745301600,3473.08,3494.66,3472.02,3487.83,11050,25,0
1745305200,3487.82,3488.41,3479.63,3484.36,7321,25,0
1745308800,3484.38,3495.48,3473.52,3494.21,11192,25,0
1745312400,3494.21,3500.07,3475.18,3479.74,18889,25,0
1745316000,3479.73,3480.62,3460.95,3468.6,17098,25,0
1745319600,3468.63,3472.66,3443.16,3443.86,15707,25,0
1745323200,3443.87,3458.73,3443.84,3454.42,13131,25,0
1745326800,3454.42,3468.22,3451.35,3452.41,11670,25,0
1745330400,3452.41,3461.22,3448.2,3456.71,9829,25,0
1745334000,3456.71,3464.74,3424.28,3431.41,18146,25,0
1745337600,3431.52,3449.67,3408.64,3418.63,24094,25,0
1745341200,3418.63,3438.86,3418.1,3429.94,17213,25,0
1745344800,3429.94,3433.18,3410.3,3417.59,15947,25,0
1745348400,3417.66,3420.97,3372.09,3392.89,24051,25,0
1745352000,3392.99,3410.24,3386.04,3401.77,17955,25,0
1745355600,3401.77,3402.46,3373.31,3381.41,13324,25,0
1745359200,3381.4,3385.93,3366.82,3374.6,13298,25,0
1745362800,3374.61,3382.81,3373.45,3381.25,4643,25,0
1745370000,3347.0,3347.13,3313.67,3327.55,11174,25,0
1745373600,3327.64,3349.92,3326.81,3336.62,8520,25,0
1745377200,3336.61,3371.35,3334.61,3367.77,11340,25,0
1745380800,3367.77,3386.6,3358.92,3379.13,18869,25,0
1745384400,3379.13,3379.84,3348.66,3354.15,13000,25,0
1745388000,3354.16,3355.58,3329.24,3338.92,13434,25,0
1745391600,3338.92,3347.2,3335.6,3346.73,5227,25,0
1745395200,3346.73,3349.41,3315.89,3319.2,13607,25,0
1745398800,3319.2,3326.01,3291.65,3300.69,20213,25,0
1745402400,3300.8,3320.45,3300.8,3318.93,12437,25,0
1745406000,3318.95,3321.53,3305.71,3321.53,9894,25,0
1745409600,3321.52,3340.53,3317.28,3317.64,10594,25,0
1745413200,3317.64,3336.3,3316.6,3329.86,7855,25,0
1745416800,3329.87,3338.99,3321.72,3324.59,10129,25,0
1745420400,3324.59,3333.36,3310.51,3310.66,16234,25,0
1745424000,3310.71,3313.65,3271.25,3277.16,23986,25,0
1745427600,3277.1,3296.22,3260.18,3287.4,25325,25,0
1745431200,3287.4,3294.4,3269.06,3280.3,19636,25,0
1745434800,3280.26,3305.62,3279.11,3295.01,14927,25,0
1745438400,3295.03,3301.45,3277.76,3281.27,12928,25,0
1745442000,3281.27,3286.91,3277.75,3282.77,7300,25,0
1745445600,3282.75,3297.1,3282.57,3293.7,7641,25,0
1745449200,3293.9,3295.7,3283.88,3288.31,3963,25,0
1745456400,3288.41,3315.82,3288.41,3309.15,5764,25,0
1745460000,3309.15,3316.86,3308.27,3316.27,3522,25,0
1745463600,3316.27,3338.99,3313.37,3331.75,10327,25,0
1745467200,3331.71,3367.53,3330.73,3357.28,19575,25,0
1745470800,3357.26,3363.26,3335.79,3342.06,13108,25,0
1745474400,3342.17,3342.66,3320.54,3326.92,9400,25,0
1745478000,3326.92,3331.66,3325.9,3326.09,3786,25,0
1745481600,3326.11,3335.44,3320.48,3323.77,8087,25,0
1745485200,3323.76,3328.05,3314.58,3324.96,16149,25,0
1745488800,3324.65,3339.74,3323.16,3333.65,11524,25,0
1745492400,3333.73,3341.58,3327.27,3336.07,9015,25,0
1745496000,3336.13,3342.83,3325.46,3335.67,8661,25,0
1745499600,3335.67,3336.65,3325.49,3329.84,6919,25,0
1745503200,3329.84,3343.87,3329.56,3336.91,7877,25,0
1745506800,3336.88,3344.61,3335.49,3335.83,11280,25,0
1745510400,3335.79,3336.17,3312.49,3315.38,17931,25,0
1745514000,3315.38,3330.3,3306.61,3327.46,18950,25,0
1745517600,3327.46,3330.37,3319.52,3329.37,12880,25,0
1745521200,3329.37,3335.38,3322.39,3331.56,9447,25,0
1745524800,3331.54,3338.56,3330.01,3336.72,9046,25,0
1745528400,3336.72,3340.22,3333.59,3334.69,5766,25,0
1745532000,3334.72,3346.95,3333.36,3342.23,5398,25,0
1745535600,3342.3,3349.87,3338.11,3349.35,3049,25,0
1745542800,3351.25,3370.68,3342.93,3366.96,6520,25,0
1745546400,3366.96,3368.09,3346.85,3348.69,6011,25,0
1745550000,3348.67,3361.36,3347.09,3357.79,9137,25,0
1745553600,3357.77,3362.96,3342.82,3345.57,11910,25,0
1745557200,3345.57,3353.31,3344.52,3348.78,8699,25,0
1745560800,3348.77,3354.3,3322.59,3323.55,9111,25,0
1745564400,3323.57,3327.7,3316.38,3324.75,9559,25,0
1745568000,3324.75,3327.04,3287.11,3294.3,13360,25,0
1745571600,3294.44,3306.38,3287.52,3304.45,16816,25,0
1745575200,3304.47,3314.47,3303.08,3307.14,8987,25,0
1745578800,3307.33,3307.87,3291.9,3303.64,10538,25,0
1745582400,3303.89,3308.81,3291.98,3292.08,9945,25,0
1745586000,3292.09,3306.32,3291.92,3297.98,9964,25,0
1745589600,3297.98,3300.9,3287.91,3293.51,9122,25,0
1745593200,3293.44,3303.17,3291.13,3292.62,11539,25,0
1745596800,3292.62,3292.81,3265.01,3280.49,21841,25,0
1745600400,3280.65,3287.14,3274.68,3278.06,18324,25,0
1745604000,3277.93,3285.55,3270.03,3282.93,9095,25,0
1745607600,3282.93,3287.45,3280.27,3285.29,8138,25,0
1745611200,3285.28,3295.07,3281.75,3293.2,10219,25,0
1745614800,3293.19,3296.99,3288.3,3288.31,5076,25,0
1745618400,3288.33,3312.42,3287.74,3304.76,6527,25,0
1745622000,3304.73,3319.37,3304.69,3318.65,3243,25,0
1745802000,3332.25,3332.25,3309.09,3310.57,4946,25,0
1745805600,3310.61,3318.09,3298.55,3302.57,6615,25,0
1745809200,3302.57,3315.89,3301.4,3314.09,6781,25,0
1745812800,3314.09,3314.98,3279.12,3280.91,12933,25,0
1745816400,3280.82,3286.32,3267.9,3280.9,9433,25,0
1745820000,3280.68,3295.17,3280.29,3290.83,4985,25,0
1745823600,3290.83,3298.98,3288.59,3298.88,3380,25,0
1745827200,3298.88,3300.89,3287.85,3294.91,5806,25,0
1745830800,3294.91,3296.41,3281.84,3283.08,12289,25,0
1745834400,3283.1,3292.37,3277.68,3287.41,12485,25,0
1745838000,3287.32,3288.5,3279.18,3282.64,8351,25,0
1745841600,3282.65,3287.34,3274.48,3274.48,8262,25,0
1745845200,3274.48,3291.81,3273.02,3289.56,8710,25,0
1745848800,3289.56,3297.14,3284.9,3294.19,8770,25,0
1745852400,3294.16,3302.28,3292.82,3295.97,11827,25,0
1745856000,3296.07,3301.24,3286.9,3293.13,17716,25,0
1745859600,3293.12,3332.91,3293.08,3328.52,18550,25,0
1745863200,3328.53,3335.92,3319.05,3325.0,13099,25,0
1745866800,3324.97,3339.15,3324.49,3336.57,10055,25,0
1745870400,3336.59,3340.06,3333.16,3335.31,8172,25,0
1745874000,3335.31,3349.98,3333.94,3348.95,8821,25,0
1745877600,3348.94,3352.97,3345.54,3352.11,6450,25,0
1745881200,3352.11,3352.37,3342.34,3344.14,2789,25,0
1745888400,3344.46,3348.57,3332.28,3337.91,3615,25,0
1745892000,3337.91,3342.73,3333.69,3337.66,4416,25,0
1745895600,3337.66,3339.12,3327.67,3329.82,6194,25,0
1745899200,3329.83,3339.98,3322.78,3326.44,9807,25,0
1745902800,3326.29,3333.94,3319.24,3320.6,7834,25,0
1745906400,3320.6,3321.6,3307.9,3315.79,8511,25,0
1745910000,3315.9,3318.02,3306.66,3309.28,4387,25,0
1745913600,3309.28,3316.52,3305.11,3310.26,6421,25,0
1745917200,3310.26,3323.95,3308.84,3318.68,9222,25,0
1745920800,3318.68,3323.1,3312.29,3322.71,7246,25,0
1745924400,3322.94,3324.78,3311.69,3311.82,6689,25,0
1745928000,3311.81,3315.94,3308.67,3309.15,7245,25,0
1745931600,3309.02,3315.57,3306.13,3312.82,7468,25,0
1745935200,3312.8,3315.9,3307.82,3309.31,7548,25,0
1745938800,3309.3,3314.61,3300.47,3312.85,12702,25,0
1745942400,3312.85,3321.24,3299.69,3307.04,18301,25,0
1745946000,3307.04,3317.73,3299.58,3314.5,14825,25,0
1745949600,3314.5,3315.55,3305.22,3312.4,10748,25,0
1745953200,3312.39,3330.02,3312.18,3328.73,9329,25,0
1745956800,3328.73,3329.69,3314.16,3314.33,8187,25,0
1745960400,3314.33,3320.04,3313.21,3319.88,6875,25,0
1745964000,3319.88,3324.93,3317.95,3320.53,6000,25,0
1745967600,3320.48,3323.48,3316.82,3317.19,2932,25,0
1745974800,3313.74,3322.87,3313.36,3318.97,2068,25,0
1745978400,3318.97,3319.36,3311.05,3317.06,2696,25,0
1745982000,3317.13,3328.05,3311.41,3313.25,6350,25,0
1745985600,3313.24,3322.77,3307.72,3308.04,9240,25,0
1745989200,3308.07,3313.11,3305.13,3306.61,7108,25,0
1745992800,3306.6,3311.25,3303.69,3304.53,5435,25,0
1745996400,3304.53,3308.88,3301.23,3307.9,5215,25,0
1746000000,3307.9,3314.67,3307.57,3309.75,6432,25,0
1746003600,3309.64,3311.25,3304.96,3305.86,8125,25,0
1746007200,3305.86,3314.62,3303.1,3307.13,8135,25,0
1746010800,3307.12,3307.65,3280.26,3284.47,11607,25,0
1746014400,3284.43,3286.83,3275.0,3275.91,8441,25,0
1746018000,3275.88,3280.78,3271.79,3272.52,7025,25,0
1746021600,3272.52,3281.62,3268.23,3271.8,8061,25,0
1746025200,3272.06,3304.74,3266.87,3298.59,17167,25,0
1746028800,3298.61,3319.76,3296.2,3309.31,17709,25,0
1746032400,3309.29,3313.72,3292.92,3309.95,20145,25,0
1746036000,3309.91,3314.59,3298.98,3307.96,13809,25,0
1746039600,3307.96,3314.21,3307.1,3310.77,9489,25,0
1746043200,3310.67,3313.51,3304.86,3305.19,8033,25,0
1746046800,3305.18,3307.69,3300.31,3301.66,7442,25,0
1746050400,3301.66,3305.67,3292.06,3295.66,6414,25,0
1746054000,3295.81,3297.9,3283.06,3288.38,5430,25,0
1746061200,3289.0,3290.12,3271.33,3273.93,5985,25,0
1746064800,3273.93,3285.05,3269.71,3272.6,5801,25,0
1746068400,3272.87,3276.29,3241.11,3246.41,10789,25,0
1746072000,3246.41,3251.31,3234.28,3238.83,8189,25,0
1746075600,3238.86,3251.65,3235.08,3241.49,6158,25,0
1746079200,3241.49,3242.49,3228.83,3229.42,7857,25,0
1746082800,3229.47,3231.89,3221.22,3226.37,6774,25,0
1746086400,3226.54,3238.76,3223.34,3236.55,7908,25,0
1746090000,3236.55,3243.13,3233.78,3235.68,9487,25,0
1746093600,3235.65,3236.89,3226.02,3230.02,8393,25,0
1746097200,3230.02,3236.69,3229.87,3235.18,5739,25,0
1746100800,3235.17,3236.18,3215.76,3218.42,7806,25,0
1746104400,3218.4,3225.25,3213.49,3222.53,8446,25,0
1746108000,3222.93,3227.01,3203.42,3205.53,9708,25,0
1746111600,3205.5,3232.56,3201.92,3226.86,15475,25,0
1746115200,3226.78,3233.24,3218.77,3224.91,15086,25,0
1746118800,3223.67,3231.43,3214.3,3219.11,17649,25,0
1746122400,3219.11,3221.77,3204.93,3216.38,12176,25,0
1746126000,3216.38,3220.69,3208.95,3219.57,10105,25,0
1746129600,3219.62,3220.89,3209.79,3214.6,8123,25,0
1746133200,3214.49,3226.82,3212.86,3223.82,6836,25,0
1746136800,3223.82,3229.74,3223.82,3228.14,5831,25,0
1746140400,3228.33,3239.53,3228.03,3237.95,4571,25,0
1746147600,3240.34,3243.23,3232.6,3237.88,3467,25,0
1746151200,3237.9,3241.5,3234.72,3237.28,3170,25,0
1746154800,3237.27,3244.28,3227.38,3231.33,7900,25,0
1746158400,3231.31,3237.41,3231.21,3236.36,7765,25,0
1746162000,3236.44,3249.19,3235.83,3248.07,6967,25,0
1746165600,3248.08,3258.57,3245.85,3254.92,6713,25,0
1746169200,3254.93,3257.43,3250.48,3251.81,5019,25,0
1746172800,3251.81,3256.79,3249.6,3251.75,5324,25,0
1746176400,3251.75,3262.3,3246.24,3252.82,8056,25,0
1746180000,3252.82,3263.19,3251.44,3258.88,7421,25,0
1746183600,3258.88,3261.51,3255.32,3258.12,6306,25,0
1746187200,3258.12,3267.01,3255.11,3265.25,7340,25,0
1746190800,3265.23,3265.65,3257.3,3259.41,6844,25,0
1746194400,3259.43,3269.18,3258.12,3262.64,7724,25,0
1746198000,3262.64,3264.87,3250.24,3250.37,16106,25,0
1746201600,3250.35,3259.55,3239.43,3250.39,20488,25,0
1746205200,3250.39,3264.55,3242.15,3262.77,17775,25,0
1746208800,3262.79,3264.18,3230.17,3231.5,15148,25,0
1746212400,3231.54,3236.26,3222.83,3224.92,16080,25,0
1746216000,3224.91,3239.76,3223.59,3231.33,11292,25,0
1746219600,3231.34,3232.41,3224.31,3226.3,7827,25,0
1746223200,3226.32,3234.49,3226.31,3233.34,6448,25,0
1746226800,3233.48,3241.46,3232.55,3240.33,3026,25,0
1746406800,3240.68,3244.47,3237.37,3239.44,4663,25,0
1746410400,3239.79,3252.27,3238.91,3248.03,5485,25,0
1746414000,3248.03,3248.61,3241.08,3246.67,5268,25,0
1746417600,3246.67,3271.04,3246.5,3264.65,9697,25,0
1746421200,3264.7,3272.31,3259.63,3270.1,8490,25,0
1746424800,3270.1,3271.34,3253.02,3254.47,7010,25,0
1746428400,3254.47,3259.46,3253.58,3256.53,4481,25,0
1746432000,3256.48,3261.93,3254.03,3259.61,5727,25,0
1746435600,3259.61,3265.65,3256.77,3262.03,8214,25,0
1746439200,3262.05,3267.76,3258.74,3264.72,8435,25,0
1746442800,3264.71,3282.91,3263.06,3282.64,10284,25,0
1746446400,3282.65,3308.92,3282.27,3308.71,13513,25,0
1746450000,3308.75,3318.58,3308.49,3313.21,12231,25,0
1746453600,3313.21,3318.92,3311.33,3312.93,9254,25,0
1746457200,3312.93,3322.52,3312.83,3319.59,12469,25,0
1746460800,3319.58,3320.94,3311.83,3315.55,11353,25,0
1746464400,3315.55,3328.77,3309.9,3312.68,15616,25,0
1746468000,3312.63,3317.82,3309.06,3311.98,11477,25,0
1746471600,3311.98,3313.54,3305.57,3309.77,10270,25,0
1746475200,3309.76,3318.14,3309.13,3317.06,8344,25,0
1746478800,3317.06,3323.44,3313.89,3323.14,7201,25,0
1746482400,3323.15,3337.57,3322.79,3328.74,9530,25,0
1746486000,3328.74,3334.59,3328.69,3334.03,4078,25,0
1746493200,3336.06,3337.95,3327.48,3330.65,3829,25,0
1746496800,3330.65,3334.92,3328.91,3334.04,3703,25,0
1746500400,3334.04,3334.29,3323.33,3329.6,7740,25,0
1746504000,3329.6,3381.7,3329.6,3379.57,19100,25,0
1746507600,3379.57,3386.9,3356.47,3358.36,14577,25,0
1746511200,3358.36,3372.33,3352.51,3360.25,10823,25,0
1746514800,3360.25,3366.02,3356.06,3363.03,7092,25,0
1746518400,3363.03,3363.81,3350.29,3361.99,8847,25,0
1746522000,3361.99,3367.83,3358.68,3364.68,10220,25,0
1746525600,3364.69,3379.49,3364.69,3371.15,10542,25,0
1746529200,3371.37,3383.08,3368.51,3377.12,9139,25,0
1746532800,3377.12,3383.2,3371.36,3383.13,8610,25,0
1746536400,3383.12,3383.78,3376.68,3383.64,7922,25,0
1746540000,3383.64,3384.94,3373.75,3379.12,9716,25,0
1746543600,3379.12,3392.3,3373.13,3391.0,12934,25,0
1746547200,3391.0,3397.61,3387.68,3391.68,17891,25,0
1746550800,3391.68,3397.98,3378.18,3386.29,17306,25,0
1746554400,3386.27,3399.76,3385.29,3395.08,10736,25,0
1746558000,3395.08,3411.57,3394.71,3408.84,12926,25,0
1746561600,3408.84,3417.73,3407.51,3413.97,11520,25,0
1746565200,3413.97,3417.41,3410.19,3415.59,8044,25,0
1746568800,3415.59,3424.1,3412.58,3423.09,7823,25,0
1746572400,3423.02,3434.77,3419.23,3430.35,6998,25,0
1746579600,3437.58,3437.72,3380.67,3381.85,13585,25,0
1746583200,3381.85,3404.44,3377.1,3400.77,9050,25,0
1746586800,3400.77,3401.42,3360.75,3379.68,16315,25,0
1746590400,3379.68,3385.0,3360.19,3374.67,15320,25,0
1746594000,3374.67,3393.64,3372.04,3390.54,11102,25,0
1746597600,3390.54,3392.46,3370.03,3375.52,7538,25,0
1746601200,3375.52,3387.4,3375.03,3382.03,5975,25,0
1746604800,3382.03,3389.36,3378.57,3387.81,7212,25,0
1746608400,3387.81,3395.81,3387.37,3392.42,7604,25,0
1746612000,3392.42,3397.39,3383.71,3387.83,7991,25,0
1746615600,3387.84,3388.59,3378.18,3382.72,7932,25,0
1746619200,3382.72,3385.08,3369.78,3370.02,7471,25,0
1746622800,3369.96,3393.39,3369.23,3391.36,9543,25,0
1746626400,3391.36,3391.55,3383.64,3387.03,7550,25,0
1746630000,3386.87,3393.8,3384.02,3390.82,11714,25,0
1746633600,3390.83,3397.95,3381.51,3394.29,16205,25,0
1746637200,3394.33,3394.73,3375.75,3385.81,15243,25,0
1746640800,3385.81,3389.5,3381.94,3385.14,10423,25,0
1746644400,3385.14,3389.72,3378.72,3386.85,7744,25,0
1746648000,3386.85,3389.68,3383.74,3384.93,7100,25,0
1746651600,3384.93,3397.9,3375.96,3384.52,15906,25,0
1746655200,3384.52,3386.86,3363.76,3371.92,14109,25,0
1746658800,3371.92,3374.52,3363.69,3364.22,4909,25,0
1746666000,3365.65,3373.7,3364.8,3369.97,3893,25,0
1746669600,3369.97,3377.13,3369.63,3376.44,2922,25,0
1746673200,3376.44,3386.96,3373.84,3380.42,7179,25,0
1746676800,3380.42,3409.69,3379.06,3408.61,13405,25,0
1746680400,3408.65,3414.72,3402.02,3402.02,11137,25,0
1746684000,3402.0,3408.37,3395.66,3396.88,8116,25,0
1746687600,3396.84,3399.24,3381.97,3382.03,7463,25,0
1746691200,3382.03,3384.25,3354.68,3355.15,12531,25,0
1746694800,3355.15,3361.79,3320.18,3329.87,17479,25,0
1746698400,3329.65,3349.21,3327.26,3342.89,12022,25,0
1746702000,3342.89,3344.18,3337.23,3339.3,7917,25,0
1746705600,3339.3,3344.28,3331.24,3331.9,9288,25,0
1746709200,3331.9,3346.61,3330.32,3342.38,9469,25,0
1746712800,3342.38,3345.46,3339.18,3344.38,7043,25,0
1746716400,3344.35,3358.52,3343.04,3356.07,13092,25,0
1746720000,3356.07,3369.48,3354.66,3355.96,15437,25,0
1746723600,3355.96,3362.79,3350.79,3356.42,15093,25,0
1746727200,3356.45,3359.96,3326.53,3330.61,16658,25,0
1746730800,3330.4,3330.4,3304.32,3310.33,16309,25,0
1746734400,3310.33,3311.16,3297.78,3308.26,12793,25,0
1746738000,3308.26,3310.91,3305.64,3308.39,7451,25,0
1746741600,3308.4,3309.9,3288.68,3306.34,10064,25,0
1746745200,3306.36,3310.78,3303.78,3306.32,4510,25,0
1746752400,3307.88,3323.91,3306.32,3323.71,5705,25,0
1746756000,3323.71,3323.92,3312.2,3316.32,4398,25,0
1746759600,3316.32,3322.95,3308.76,3322.17,8171,25,0
1746763200,3322.12,3322.38,3286.72,3291.28,14675,25,0
1746766800,3291.28,3308.56,3274.7,3308.34,14716,25,0
1746770400,3308.34,3313.44,3299.62,3308.09,9530,25,0
1746774000,3308.09,3327.39,3308.09,3324.57,6647,25,0
1746777600,3324.57,3330.27,3312.89,3321.49,9402,25,0
1746781200,3321.5,3326.76,3315.26,3325.43,9933,25,0
1746784800,3325.43,3332.21,3322.42,3327.17,11065,25,0
1746788400,3327.24,3328.93,3320.21,3328.49,9299,25,0
1746792000,3328.49,3329.29,3323.4,3325.02,6806,25,0
1746795600,3325.07,3329.73,3321.95,3323.28,5747,25,0
1746799200,3323.28,3338.24,3323.19,3333.01,10191,25,0
1746802800,3333.01,3335.58,3329.01,3333.51,10818,25,0
1746806400,3333.49,3340.34,3328.64,3330.69,15770,25,0
1746810000,3330.66,3341.01,3320.26,3337.05,16211,25,0
1746813600,3337.11,3346.08,3336.11,3344.97,11631,25,0
1746817200,3344.97,3347.46,3336.29,3336.78,9838,25,0
1746820800,3336.78,3342.55,3336.05,3340.89,7482,25,0
1746824400,3340.89,3342.89,3336.18,3338.59,5779,25,0
1746828000,3338.59,3339.79,3325.57,3328.85,7105,25,0
1746831600,3328.91,3330.32,3325.31,3327.18,3095,25,0
